evaluated_at_utc,evaluated_at_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,DUQUESNE,1476.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,DUQUESNE,1476.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,DUQUESNE,1475.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,DUQUESNE,1475.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,DUQUESNE,1474.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,DUQUESNE,1473.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,DUQUESNE,1472.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,DUQUESNE,1471.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,DUQUESNE,1470.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,DUQUESNE,1469.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,DUQUESNE,1468.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,DUQUESNE,1466.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,DUQUESNE,1465.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,DUQUESNE,1463.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,DUQUESNE,1461.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,DUQUESNE,1459.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,DUQUESNE,1457.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,10/15/2020 6:30:00 PM,10/15/2020 2:30:00 PM,DUQUESNE,1455.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,EKPC,1183.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,EKPC,1184.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,EKPC,1186.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,EKPC,1187.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,EKPC,1188.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,EKPC,1189.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,EKPC,1190.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,EKPC,1191.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,EKPC,1192.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,EKPC,1192.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,EKPC,1193.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,EKPC,1194.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,EKPC,1194.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,EKPC,1195.000000
