PNODEID,PNODENAME,PNODETYPE,STATE
48592,ALDENE 230 KV T-10,LOAD,NJ
48593,ALDENE 230 KV T-20,LOAD,NJ
48594,ATHENIA 26 KV AB GRP,LOAD,NJ
48595,ATHENIA 26 KV OU GRP,LOAD,NJ
48596,ATHENIA 26 KV IM GRP,LOAD,NJ
48597,BAYONNE 138 KV 13KV,LOAD,NJ
48598,BAYONNE 138 KV 13KV-2,LOAD,NJ
48603,BELLEVIL230 KV 26KV,LOAD,NJ
48604,BELLEVIL230 KV 26KV-2,LOAD,NJ
48605,BENNETTS230 KV 13KV,LOAD,NJ
48606,BENNETTS230 KV 13KV-2,LOAD,NJ
48612,BRIDGEWA230 KV 26KV,LOAD,NJ
48613,BRIDGEWA230 KV 26KV-2,LOAD,NJ
48614,BRIDGEWA230 KV 13KV,LOAD,NJ
48615,BRIDGEWA230 KV 13KV-2,LOAD,NJ
48619,CEDARGRO230 KV 13KV-1,LOAD,NJ
48620,CEDARGRO230 KV 13KV-2,LOAD,NJ
48621,CLIF PS 230 KV T-1,LOAD,NJ
48622,CLIF PS 230 KV T-2,LOAD,NJ
48627,DEVILSBR138 KV T-1,LOAD,NJ
48629,DEYRD 138 KV 13KV,LOAD,NJ
48634,ERUTHERF138 KV R-13KV,LOAD,NJ
48635,ERUTHERF138 KV S-13KV,LOAD,NJ
48641,FANWOOD 138 KV T-1,LOAD,NJ
48642,FANWOOD 138 KV T-2,LOAD,NJ
48643,FOUNDRY 138 KV T-1,LOAD,NJ
48644,FOUNDRY 138 KV T-2,LOAD,NJ
48645,GREENBRO230 KV T-1,LOAD,NJ
48646,GREENBRO230 KV T-2,LOAD,NJ
48647,HAWTHORN230 KV T-20,LOAD,NJ
48648,HILLSDAL230 KV T-1,LOAD,NJ
48649,HILLSDAL230 KV T-2,LOAD,NJ
48650,HINCHMAN230 KV T-10,LOAD,NJ
48651,HINCHMAN230 KV T-20,LOAD,NJ
48652,HOBOKEN 230 KV T-1AB,LOAD,NJ
48653,HOBOKEN 230 KV T-2AB,LOAD,NJ
48654,HOMESTEA138 KV T-1,LOAD,NJ
48655,HOMESTEA138 KV T-4,LOAD,NJ
48656,HOMESTEA138 KV T-2,LOAD,NJ
48657,HOMESTEA138 KV T-3,LOAD,NJ
48658,JACK PS 230 KV T-1,LOAD,NJ
48659,JACK PS 230 KV T-2,LOAD,NJ
48660,KILMER 230 KV T-1,LOAD,NJ
